"Availability|up","1","OBSERVATION","SUM","COLLECTIVE"
"Availability|Server Uptime (sec)","233385","OBSERVATION","CURRENT","INDIVIDUAL"
"Resource Utilization|CPU|Load","0","OBSERVATION","AVERAGE","COLLECTIVE"
"Resource Utilization|Processes|Busy Workers","1","OBSERVATION","AVERAGE","COLLECTIVE"
"Resource Utilization|Processes|Idle Workers","16","OBSERVATION","AVERAGE","COLLECTIVE"
"Activity|Total Accesses","1588161","OBSERVATION","SUM","COLLECTIVE"
"Activity|Total Traffic","21280700","OBSERVATION","SUM","COLLECTIVE"
"Activity|Requests/min","408","OBSERVATION","AVERAGE","COLLECTIVE"
"Activity|Bytes/min","5602272","OBSERVATION","AVERAGE","COLLECTIVE"
"Activity|Bytes/req","13721","OBSERVATION","AVERAGE","COLLECTIVE"
"Activity|Type|Starting Up","0","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Reading Request","0","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Sending Reply","1","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Keep Alive","0","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|DNS Lookup","0","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Closing Connection","0","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Logging","0","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Gracefully Finishing","0","OBSERVATION","CURRENT","COLLECTIVE"
"Activity|Type|Cleaning Up","0","OBSERVATION","CURRENT","COLLECTIVE"
