SymptomMetric,CauseMetric,Probability
tomcat.processingTime,tomcat.bytesSent,1
tomcat.processingTime,tomcat.maxThreads,1
tomcat.processingTime,tomcat.activeSessions,1
tomcat.processingTime,tomcat.requestCount,1
tomcat.processingTime,Vsphere.CPU.Usage,1
tomcat.processingTime,proc.net.bytes,1
tomcat.processingTime,iostat.disk.read_requests,1
tomcat.processingTime,iostat.disk.write_requests,1
tomcat.processingTime,proc.meminfo.active,1
tomcat.processingTime,proc.meminfo.memfree,1
tomcat.processingTime,mongo.extra_info.heap_usage_bytes,1
tomcat.processingTime,mongo.globalLock.currentQueue.readers,1
tomcat.processingTime,mongo.globalLock.currentQueue.writers,1
tomcat.processingTime,mongo.globalLock.totalTime,1
tomcat.processingTime,mongo.network.bytesIn,1
tomcat.processingTime,mongo.network.bytesOut,1
tomcat.processingTime,mongo.cursors.totalOpen,1
tomcat.processingTime,mysql.com_execute_sql,1
tomcat.processingTime,mysql.bytes_received,1
tomcat.processingTime,mysql.connections_running,1
tomcat.processingTime,mysql.pct_innodb_buffer_pool_hit_ratio,1
tomcat.processingTime,mysql.pct_tmp_tables_written_to_disk,1
tomcat.processingTime,mysql.pct_connection_utilization,1
tomcat.processingTime,mysql.volume_reads,1
tomcat.processingTime,mysql.volume_writes,1
tomcat.processingTime,mysql.query_cache_misses,1
tomcat.sessionCreateRate,tomcat.currentThreadsBusy,1
tomcat.sessionCreateRate,tomcat.maxThreads,1
tomcat.sessionCreateRate,tomcat.HeapMemoryUsage,1
tomcat.sessionCreateRate,tomcat.activeSessions,1
tomcat.sessionCreateRate,tomcat.requestCount,1
tomcat.sessionCreateRate,Vsphere.CPU.Usage,1
tomcat.sessionCreateRate,proc.net.bytes,1
tomcat.sessionCreateRate,iostat.disk.read_requests,1
tomcat.sessionCreateRate,iostat.disk.write_requests,1
tomcat.sessionCreateRate,proc.meminfo.active,1
tomcat.sessionCreateRate,proc.meminfo.memfree,1
tomcat.sessionCreateRate,mongo.extra_info.heap_usage_bytes,1
tomcat.sessionCreateRate,mongo.globalLock.currentQueue.readers,1
tomcat.sessionCreateRate,mongo.globalLock.currentQueue.writers,1
tomcat.sessionCreateRate,mysql.volume_reads,1
tomcat.sessionCreateRate,mysql.volume_writes,1
tomcat.sessionCreateRate,mysql.query_cache_misses,1
tomcat.activeSessions,tomcat.HeapMemoryUsage,1
tomcat.activeSessions,tomcat.currentThreadCount,1
tomcat.activeSessions,tomcat.requestCount,1
tomcat.activeSessions,tomcat.rejectedSessions,1
tomcat.activeSessions,Vsphere.CPU.Usage,1
tomcat.activeSessions,proc.net.bytes,1
tomcat.activeSessions,iostat.disk.read_requests,1
tomcat.activeSessions,iostat.disk.write_requests,1
tomcat.activeSessions,proc.meminfo.active,1
tomcat.activeSessions,proc.meminfo.memfree,1
tomcat.activeSessions,mongo.extra_info.heap_usage_bytes,1
tomcat.activeSessions,mongo.globalLock.currentQueue.readers,1
tomcat.activeSessions,mongo.globalLock.currentQueue.writers,1
tomcat.activeSessions,mysql.volume_reads,1
tomcat.activeSessions,mysql.volume_writes,1
tomcat.activeSessions,mysql.query_cache_misses,1
