name,displayName,description,dataType,computed,dependentMetrics,computeMethod,active,isServiceMetrics,service_metrics,host_metrics,isRepresentativeMetric,derivedMetric
CPU.Ready,CPU Ready,CPU Ready,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
CPU.Usage,CPU Usage,CPU Usage,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
CPU.Usage.Mhz,CPU Usage Mhz,CPU Usage Mhz,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
CPU.Used,CPU Used,CPU Used,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
Memory.Usage,Memory Usage,Memory Usage,float,FALSE,,,TRUE,FALSE,System,All,TRUE,
Network.Usage,Network Usage,Network Usage,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
Virtual.Disk.Read,Virtual Disk Read,Virtual Disk Read,float,FALSE,,,TRUE,FALSE,System,All,TRUE,
Virtual.Disk.write,Virtual Disk write,Virtual Disk write,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
Vsphere.CPU.Ready,Vsphere CPU Ready,Vsphere CPU Ready,float,FALSE,,,TRUE,FALSE,System,All,TRUE,
Vsphere.CPU.Usage,Vsphere CPU Usage,Vsphere CPU Usage,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
Vsphere.CPU.Usage.Mhz,Vsphere CPU Usage Mhz,Vsphere CPU Usage Mhz,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
Vsphere.CPU.Used,Vsphere CPU Used,Vsphere CPU Used,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
Vsphere.Memory.Usage,Vsphere Memory Usage,Vsphere Memory Usage,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
Vsphere.Network.Usage,Vsphere Network Usage,Vsphere Network Usage,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
Vsphere.Virtual.Disk.Read,Vsphere Virtual Disk Read,Vsphere Virtual Disk Read,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
Vsphere.Virtual.Disk.write,Vsphere Virtual Disk write,Vsphere Virtual Disk write,float,FALSE,,,TRUE,FALSE,System,All,FALSE,
haproxy.act,haproxy act,haproxy act,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.bck,haproxy bck,haproxy bck,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.bin,haproxy bin,haproxy bin,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.bout,haproxy bout,haproxy bout,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.chkdown,haproxy chkdown,haproxy chkdown,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.chkfail,haproxy chkfail,haproxy chkfail,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.downtime,haproxy downtime,haproxy downtime,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.dreq,haproxy dreq,haproxy dreq,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.dresp,haproxy dresp,haproxy dresp,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.econ,haproxy econ,haproxy econ,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.ereq,haproxy ereq,haproxy ereq,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.eresp,haproxy eresp,haproxy eresp,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.iid,haproxy iid,haproxy iid,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.lastchg,haproxy lastchg,haproxy lastchg,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.lbtot,haproxy lbtot,haproxy lbtot,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.pid,haproxy pid,haproxy pid,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.qcur,haproxy qcur,haproxy qcur,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.qlimit,haproxy qlimit,haproxy qlimit,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.qmax,haproxy qmax,haproxy qmax,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.queuelength,haproxy queuelength,haproxy queuelength,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.rate,haproxy rate,haproxy rate,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.rate.lim,haproxy rate lim,haproxy rate lim,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.rate.max,haproxy rate max,haproxy rate max,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
haproxy.roundtrip,haproxy roundtrip,haproxy roundtrip,float,FALSE,,,TRUE,TRUE,HaProxy,n42-dev11,FALSE,
