metric,min1,min2,max1,max2,avg1,avg2,host,iface,direction
tomcat.HeapMemoryUsage,509716976,847541760,518244600,1126362319,431836105,857315067,       AS-SVC2-Web02,,
tomcat.NonHeapMemoryUsage,0,79427616,79415776,2078300847,59705247,279139554,       AS-SVC2-Web02,,
tomcat.ThreadCount,0,85,84,1123223002,84,124802121,       AS-SVC2-Web02,,
tomcat.Uptime,0,2101920847,2053975854,2101395841,1787426832,2102366844,       AS-SVC2-Web02,,
tomcat.activeSessions,NIL,NIL,NIL,NIL,NIL,NIL,       AS-SVC2-Web02,,
tomcat.averageProcessingTime,0,0,0,11263623319,0,124799617,       AS-SVC2-Web02,,
tomcat.bytesReceived,0,2254263,2232937,2095610848,2232937,234979439,       AS-SVC2-Web02,,
tomcat.bytesSent,0,1126363581,1123196552,2069630850,936584014,1259461980,       AS-SVC2-Web02,,
tomcat.currentThreadCount,0,20,20,1126362319,20,140776575,       AS-SVC2-Web02,,
tomcat.currentThreadsBusy,0,2,0,1123223002,0,124802045,       AS-SVC2-Web02,,
tomcat.errorCount,0,723,713,2060085848,657,160461046,       AS-SVC2-Web02,,
tomcat.maxThreads,0,200,200,1123223002,171,1872040000,       AS-SVC2-Web02,,
tomcat.maxTime,0,3412056,3412056,2097675846,3412056,234574144,       AS-SVC2-Web02,,
tomcat.processingTime,0,21962427,21824148,2101745848,21824125,280228278,       AS-SVC2-Web02,,
tomcat.rejectedSessions,88088,3412056,88088,3412056,88088,3412056,       AS-SVC2-Web02,,
tomcat.requestCount,20,88221,86570,2064360851,76226,229450466,       AS-SVC2-Web02,,
tomcat.sessionCreateRate,NIL,NIL,NIL,NIL,NIL,NIL,       AS-SVC2-Web02,,
tomcat.HeapMemoryUsage,269553248,614825288,283925232,1.41178E+12,283499870,1.76748E+11,     AS-SVC2-Web03,,
tomcat.NonHeapMemoryUsage,0,78895984,78181600,1.41178E+12,70095014,1.56926E+11,     AS-SVC2-Web03,,
tomcat.ThreadCount,0,92,91,1.41178E+12,91,1.56847E+11,     AS-SVC2-Web03,,
tomcat.Uptime,0,1774556558,1740466557,1.41162E+12,1728505195,1.58393E+11,     AS-SVC2-Web03,,
tomcat.activeSessions,NIL,NIL,NIL,NIL,NIL,NIL,     AS-SVC2-Web03,,
tomcat.averageProcessingTime,-7.05889E+11,0,2,1.41178E+12,-7.84432E+11,1.41162E+11,     AS-SVC2-Web03,,
tomcat.bytesReceived,19,3042559,3042559,1.41178E+12,3042559,2.01696E+11,     AS-SVC2-Web03,,
tomcat.bytesSent,0,2672103842,2672090157,1.40078E+13,2404881141,1.78791E+11,     AS-SVC2-Web03,,
tomcat.currentThreadCount,0,19,19,1.41178E+12,19,2.01661E+11,     AS-SVC2-Web03,,
tomcat.currentThreadsBusy,0,1,0,1.41178E+12,0,1.76453E+11,     AS-SVC2-Web03,,
tomcat.errorCount,0,790,782,1.41178E+12,701,1.76472E+11,     AS-SVC2-Web03,,
tomcat.maxThreads,0,200,200,1.14118E+13,200,2.01758E+11,     AS-SVC2-Web03,,
tomcat.maxTime,0,1.41162E+12,1.41162E+12,1.41178E+12,1.17635E+12,1.41162E+12,     AS-SVC2-Web03,,
tomcat.processingTime,91,1.41178E+12,1.41178E+12,1.41178E+12,1.17649E+12,1.41178E+12,     AS-SVC2-Web03,,
tomcat.rejectedSessions,NIL,NIL,NIL,NIL,NIL,NIL,     AS-SVC2-Web03,,
tomcat.requestCount,19,129468,128477,1.41178E+12,128476,2.01661E+11,     AS-SVC2-Web03,,
tomcat.sessionCreateRate,NIL,NIL,NIL,NIL,NIL,NIL,     AS-SVC2-Web03,,
mongo.asserts,0,45934,0,45934,0,45934,               AS-SVC2-DB01,,
mongo.backgroundFlushing.average_ms,262,271,262,271,262,271,               AS-SVC2-DB01,,
mongo.backgroundFlushing.flushes,"2,08,927","2,19,006","2,08,928","2,19,007","2,08,928","2,19,007",               AS-SVC2-DB01,,
mongo.backgroundFlushing.total_ms,54690972,59321753,54691379,59321941,54691176,59321847,               AS-SVC2-DB01,,
mongo.connections.available,19903,19925,19903,19927,19903,19926,               AS-SVC2-DB01,,
mongo.connections.current,3,84,3,84,3,84,               AS-SVC2-DB01,,
mongo.cursors.timedOut,8,8,8,8,8,8,               AS-SVC2-DB01,,
mongo.cursors.totalOpen,0,1,0,6,0,4,               AS-SVC2-DB01,,
mongo.dur.commits,1,29,5,29,4,30,               AS-SVC2-DB01,,
mongo.dur.commitsInWriteLock,0,1,0,3,0,2,               AS-SVC2-DB01,,
mongo.dur.compression,0,1,1,2,0,1,               AS-SVC2-DB01,,
mongo.dur.earlyCommits,0,1,0,1,0,1,               AS-SVC2-DB01,,
mongo.dur.journaledMB,0,2,0,9,0,4,               AS-SVC2-DB01,,
mongo.dur.writeToDataFilesMB,0,7,0,30,0,16,               AS-SVC2-DB01,,
mongo.extra_info.heap_usage_bytes,1173564224,1406389320,1173603712,1406405368,1173584968,1406399356,               AS-SVC2-DB01,,
mongo.extra_info.page_faults,77367341,82396165,77367555,82392852,77367473,82396292,               AS-SVC2-DB01,,
mongo.globalLock.activeClients.readers,0,9,0,10,0,9,               AS-SVC2-DB01,,
mongo.globalLock.activeClients.writers,0,1,0,1,0,1,               AS-SVC2-DB01,,
mongo.globalLock.currentQueue.readers,0,2,0,15,0,7,               AS-SVC2-DB01,,
mongo.globalLock.currentQueue.writers,0,0,0,1,0,1,               AS-SVC2-DB01,,
mongo.globalLock.lockTime,36490367887,38100160230,36490481900,38100230848,36490440604,38099627336,               AS-SVC2-DB01,,
mongo.globalLock.totalTime,12535706412,13140271662,12535751455,13140376775,1.25357E+13,1.31404E+13,               AS-SVC2-DB01,,
mongo.mem.mapped,1576159,1586394,1576159,1586394,1576159,1586394,               AS-SVC2-DB01,,
mongo.mem.resident,44404,50598,444453,50609,43977,50683,               AS-SVC2-DB01,,
mongo.mem.virtual,3158237,3178870,3158217,3178852,3158191,3178870,               AS-SVC2-DB01,,
mongo.network.bytesIn,18942779392,19738769408,18942849024,19738902528,18942818816,19738879488,               AS-SVC2-DB01,,
mongo.network.bytesOut,90547798016,93726490624,90547961856,93726441472,90547879936,93726556160,               AS-SVC2-DB01,,
mongo.network.numRequests,125966516,130885817,125966925,130888183,125966745,130882503,               AS-SVC2-DB01,,
mongo.opcounters,0,40791091,78970594,82545107,44067242,61565080,               AS-SVC2-DB01,,
zookeeper.zk_approximate_data_size,1593,49620,1881,58654,1340,52610,                 AS-SVC2-Zk01,,
zookeeper.zk_avg_latency,0,0,0,13,0,5,                 AS-SVC2-Zk01,,
zookeeper.zk_max_latency,130,213,130,213,130,213,                 AS-SVC2-Zk01,,
zookeeper.zk_min_latency,0,0,0,12,0,4,                 AS-SVC2-Zk01,,
zookeeper.zk_num_alive_connections,1,13,7,9,7,9,                 AS-SVC2-Zk01,,
zookeeper.zk_open_file_descriptor_count,27,39,30,39,28,39,                 AS-SVC2-Zk01,,
zookeeper.zk_outstanding_requests,0,0,0,2,0,1,                 AS-SVC2-Zk01,,
zookeeper.zk_packets_received,46953438,85018235,47033757,85085242,47069900,85008907,                 AS-SVC2-Zk01,,
zookeeper.zk_packets_sent,47015822,85152972,470011108,85114765,46973887,85113230,                 AS-SVC2-Zk01,,
