id,metricDescription,yAxisFormatter,renderer,url,graph
csr.memory.available,csr memory available,byte,line,n42-services/resources/metrics/csr.memory.available,TRUE
csr.memory.used,csr memory used,byte,line,n42-services/resources/metrics/csr.memory.used,TRUE
csr.memory.free,csr memory free,byte,line,n42-services/resources/metrics/csr.memory.free,TRUE
csr.cpuutil.total,csr cpuutil total,byte,line,n42-services/resources/metrics/csr.cpuutil.total,TRUE
proc.net.bytes,proc net bytes,byte,line,n42-services/resources/metrics/proc.net.bytes,TRUE
mongo.dur.compression,mongo dur compression,default,line,n42-services/resources/metrics/mongo.dur.compression,FALSE
apache.Resource_Utilization_Processes_Busy_Workers,apache Resource Utilization Processes Busy Workers,default,line,n42-services/resources/metrics/apache.Resource_Utilization_Processes_Busy_Workers,TRUE
tomcat.processingTime,tomcat processingTime,default,line,n42-services/resources/metrics/tomcat.processingTime,TRUE
tomcat.sessionCreateRate,tomcat sessionCreateRate,byte,line,n42-services/resources/metrics/tomcat.sessionCreateRate,FALSE
tomcat.activeSessions,tomcat activeSessions,default,line,n42-services/resources/metrics/tomcat.activeSessions,TRUE
tomcat.rejectedSessions,tomcat rejectedSessions,default,line,n42-services/resources/metrics/tomcat.rejectedSessions,FALSE
mongo.backgroundFlushing.average_ms,mongo backgroundFlushing average ms,default,line,n42-services/resources/metrics/mongo.backgroundFlushing.average_ms,TRUE
mongo.dur.commits,mongo dur commits,default,line,n42-services/resources/metrics/mongo.dur.commits,FALSE
mongo.globalLock.lockTime,mongo globalLock lockTime,default,line,n42-services/resources/metrics/mongo.globalLock.lockTime,TRUE
mysql.innodb_data_writes,mysql innodb data writes,byte,line,n42-services/resources/metrics/mysql.innodb_data_writes,FALSE
mysql.innodb_buffer_pool_read_requests,mysql innodb buffer pool read requests,byte,line,n42-services/resources/metrics/mysql.innodb_buffer_pool_read_requests,TRUE
mysql.innodb_data_reads,mysql innodb data reads,byte,line,n42-services/resources/metrics/mysql.innodb_data_reads,FALSE
mongo.opcounters,mongo opcounters,default,line,n42-services/resources/metrics/mongo.opcounters,TRUE
tomcat.bytesSent,tomcat bytes Sent,byte,line,n42-services/resources/metrics/tomcat.bytesSent,FALSE
tomcat.maxThreads,tomcat max Threads,default,line,n42-services/resources/metrics/tomcat.maxThreads,TRUE
tomcat.activeSessions,tomcat.activeSessions,default,line,n42-services/resources/metrics/tomcat.activeSessions,FALSE
tomcat.requestCount,tomcat.requestCount,default,line,n42-services/resources/metrics/tomcat.requestCount,TRUE
iostat.disk.read_requests,iostat disk read requests,byte,line,n42-services/resources/metrics/iostat.disk.read_requests,TRUE
iostat.disk.write_requests,iostat disk write requests,byte,line,n42-services/resources/metrics/iostat.disk.write_requests,FALSE
proc.meminfo.active,proc meminfo active,byte,line,n42-services/resources/metrics/proc.meminfo.active,TRUE
proc.meminfo.memfree,proc meminfo memfree,byte,line,n42-services/resources/metrics/proc.meminfo.memfree,FALSE
mongo.extra_info.heap_usage_bytes,mongo extra info heap usage bytes,byte,line,n42-services/resources/metrics/mongo.extra_info.heap_usage_bytes,TRUE
mongo.globalLock.currentQueue.readers,mongo globalLock current Queue readers,byte,line,n42-services/resources/metrics/mongo.globalLock.currentQueue.readers,FALSE
mongo.globalLock.currentQueue.writers,mongo globalLock current Queue writers,byte,line,n42-services/resources/metrics/mongo.globalLock.currentQueue.writers,TRUE
mongo.globalLock.totalTime,mongo globalLock total Time,default,line,n42-services/resources/metrics/mongo.globalLock.totalTime,FALSE
mongo.network.bytesIn,mongo network bytesIn,byte,line,n42-services/resources/metrics/mongo.network.bytesIn,TRUE
mongo.network.bytesOut,mongo network bytesOut,byte,line,n42-services/resources/metrics/mongo.network.bytesOut,FALSE
mongo.cursors.totalOpen,mongo cursors total Open,default,line,n42-services/resources/metrics/mongo.cursors.totalOpen,TRUE
mysql.com_execute_sql,mysql com execute sql,default,line,n42-services/resources/metrics/mysql.com_execute_sql,TRUE
mysql.bytes_received,mysql bytes received,byte,line,n42-services/resources/metrics/mysql.bytes_received,FALSE
mysql.connections_running,mysql connections running,default,line,n42-services/resources/metrics/mysql.connections_running,TRUE
mysql.pct_innodb_buffer_pool_hit_ratio,mysql pct innodb buffer pool hit ratio,default,line,n42-services/resources/metrics/mysql.pct_innodb_buffer_pool_hit_ratio,FALSE
mysql.pct_tmp_tables_written_to_disk,mysql pct tmp tables written to disk,byte,line,n42-services/resources/metrics/mysql.pct_tmp_tables_written_to_disk,TRUE
mysqlpct_connection_utilization,mysql pct connection utilization,percent,line,n42-services/resources/metrics/mysqlpct_connection_utilization,FALSE
mysql.volume_reads,mysql volume reads,byte,line,n42-services/resources/metrics/mysql.volume_reads,TRUE
mysql.volume_writes,mysql volume writes,byte,line,n42-services/resources/metrics/mysql.volume_writes,FALSE
mysql.query_cache_misses,mysql query cache misses,byte,line,n42-services/resources/metrics/mysql.query_cache_misses,TRUE
tomcat.currentThreadsBusy,tomcat current Threads Busy,default,line,n42-services/resources/metrics/tomcat.currentThreadsBusy,FALSE
tomcat.HeapMemoryUsage,tomcat Heap Memory Usage,default,line,n42-services/resources/metrics/tomcat.HeapMemoryUsage,TRUE
tomcat.currentThreadCount,tomcat current Thread Count,default,line,n42-services/resources/metrics/tomcat.currentThreadCount,FALSE
tomcat.rejectedSessions,tomcat rejected Sessions,default,line,n42-services/resources/metrics/tomcat.rejectedSessions,TRUE
mongo.connections.current,mongo connections current,default,line,n42-services/resources/metrics/mongo.connections.current,FALSE
mongo.dur.commitsInWriteLock,mongo dur commits In Write Lock,default,line,n42-services/resources/metrics/mongo.dur.commitsInWriteLock,TRUE
mongo.dur.writeToDataFilesMB,mongo dur write To Data FilesMB,byte,line,n42-services/resources/metrics/mongo.dur.writeToDataFilesMB,FALSE
mongo.mem.virtual,mongo mem virtual,byte,line,n42-services/resources/metrics/mongo.mem.virtual,TRUE
proc.stat.cpu,proc stat cpu,byte,line,n42-services/resources/metrics/proc.stat.cpu,FALSE
mongo.extra_info.page_faults,mongo extra info page faults,default,line,n42-services/resources/metrics/mongo.extra_info.page_faults,TRUE
mongo.dur.journaledMB,mongo dur journaledMB,byte,line,n42-services/resources/metrics/mongo.dur.journaledMB,FALSE
mongo.globalLock.activeClients.readers,mongo global Lock active Clients readers,byte,line,n42-services/resources/metrics/mongo.globalLock.activeClients.readers,TRUE
mongo.globalLock.activeClients.writers,mongo global Lock active Clients writers,byte,line,n42-services/resources/metrics/mongo.globalLock.activeClients.readers,FALSE
mysql.innodb_page_size,mysql innodb page size,byte,line,n42-services/resources/metrics/mysql.innodb_page_size,TRUE
mysql.innodb_pages_created,mysql innodb pages created,default,line,n42-services/resources/metrics/mysql.innodb_pages_created,FALSE
mysql.innodb_pages_read,mysql innodb pages read,byte,line,n42-services/resources/metrics/mysql.innodb_pages_read,TRUE
mysql.innodb_pages_written,mysql innodb pages written,byte,line,n42-services/resources/metrics/mysql.innodb_pages_written,FALSE
iostat.disk.msec_read,iostat disk msec read,byte,line,n42-services/resources/metrics/iostat.disk.msec_read,TRUE
iostat.disk.msec_write,iostat disk msec write,byte,line,n42-services/resources/metrics/iostat.disk.msec_write,FALSE
df.bytes.free,df bytes free,byte,line,n42-services/resources/prediction/df.bytes.free,TRUE
df.bytes.percentused,df bytes percentused,byte,line,n42-services/resources/prediction/df.bytes.percentused,FALSE
df.bytes.total,df bytes total,byte,line,n42-services/resources/metrics/df.bytes.total,TRUE
df.bytes.used,df bytes used,byte,line,n42-services/resources/metrics/df.bytes.used,FALSE
df.inodes.free,df inodes free,byte,line,n42-services/resources/metrics/df.inodes.free,TRUE
df.inodes.percentused,df inodes percentused,byte,line,n42-services/resources/metrics/df.inodes.percentused,FALSE
df.inodes.total,df inodes total,byte,line,n42-services/resources/metrics/df.inodes.total,TRUE
df.inodes.used,df inodes used,byte,line,n42-services/resources/metrics/df.inodes.used,FALSE
iostat.disk.await,iostat disk await,byte,line,n42-services/resources/metrics/iostat.disk.await,FALSE
iostat.disk.ios_in_progress,iostat disk ios in progress,byte,line,n42-services/resources/metrics/iostat.disk.ios_in_progress,TRUE
iostat.disk.msec_total,iostat disk msec total,byte,line,n42-services/resources/metrics/iostat.disk.msec_total,FALSE
iostat.disk.msec_weighted_total,iostat disk msec weighted total,byte,line,n42-services/resources/metrics/iostat.disk.msec_weighted_total,TRUE
iostat.disk.read_merged,iostat disk read merged,byte,line,n42-services/resources/metrics/iostat.disk.read_merged,FALSE
iostat.disk.read_sectors,iostat disk read sectors,byte,line,n42-services/resources/metrics/iostat.disk.read_sectors,TRUE
iostat.disk.svctm,iostat disk svctm,byte,line,n42-services/resources/metrics/iostat.disk.svctm,FALSE
iostat.disk.util,iostat disk util,byte,line,n42-services/resources/metrics/iostat.disk.util,TRUE
iostat.disk.write_merged,iostat disk write merged,byte,line,n42-services/resources/metrics/iostat.disk.write_merged,FALSE
iostat.disk.write_sectors,iostat disk write sectors,byte,line,n42-services/resources/metrics/iostat.disk.write_sectors,TRUE
iostat.part.await,iostat part await,byte,line,n42-services/resources/metrics/iostat.part.await,FALSE
iostat.part.ios_in_progress,iostat part ios in progress,byte,line,n42-services/resources/metrics/iostat.part.ios_in_progress,TRUE
iostat.part.msec_read,iostat part msec read,byte,line,n42-services/resources/metrics/iostat.part.msec_read,FALSE
iostat.part.msec_total,iostat part msec total,byte,line,n42-services/resources/metrics/iostat.part.msec_total,TRUE
