name,description,domainName,ipAddress,application
n42-dev11,n42-dev11,n42-dev11.tcloud.infra,175.126.104.46,ADC-SDDC
n42-dev12,n42-dev12,n42-dev12.tcloud.infra,175.126.104.47,ADC-SDDC
n42-dev13,n42-dev13,n42-dev13.tcloud.infra,175.126.104.48,ADC-SDDC
n42-dev14,n42-dev14,n42-dev14.tcloud.infra,175.126.104.49,ADC-SDDC
n42-dev02,n42-dev02,n42-dev02.tcloud.infra,175.126.104.42,AxN42
n42-dev15,n42-dev15,n42-dev15.tcloud.infra,175.126.103.50,AxN42
n42-poweredge-1,openstack-cloud host,n42-poweredge-1,n42-poweredge-1,Sunnyvale OpenStack 1
n42-poweredge-3,openstack-cloud host,n42-poweredge-3,n42-poweredge-3,Sunnyvale OpenStack 1
n42-poweredge-5,openstack-cloud host,n42-poweredge-5,n42-poweredge-5,Sunnyvale OpenStack 1
n42-poweredge-6,openstack-cloud host,n42-poweredge-6,n42-poweredge-6,Sunnyvale OpenStack 2
n42-poweredge-8,openstack-cloud host,n42-poweredge-6,n42-poweredge-8,Sunnyvale OpenStack 2
n42-poweredge-10,openstack-cloud host,n42-poweredge-6,n42-poweredge-10,Sunnyvale OpenStack 2
OverCloud,OverCloud,OverCloud,OverCloud,SKT VMware
OverCloud Ctrl-1,OverCloud Ctrl-1,OverCloud Ctrl-1,OverCloud Ctrl-1,SKT VMware
OverCloud Ctrl-2,OverCloud Ctrl-2,OverCloud Ctrl-2,OverCloud Ctrl-2,SKT VMware
UnderCloud,UnderCloud,UnderCloud,UnderCloud,SKT VMware
ObjectSwift Ctrl-1,ObjectSwift Ctrl-1,ObjectSwift Ctrl-1,ObjectSwift Ctrl-1,SKT VMware
ObjectSwift Ctrl-2,ObjectSwift Ctrl-2,ObjectSwift Ctrl-2,ObjectSwift Ctrl-2,SKT VMware
Compute-1,Compute-1,Compute-1,Compute-1,SKT VMware
Compute-2,Compute-2,Compute-2,Compute-2,SKT VMware
HelionSwift-1,HelionSwift-1,HelionSwift-1,HelionSwift-1,SKT VMware
HelionSwift-2,HelionSwift-2,HelionSwift-2,HelionSwift-2,SKT VMware
BlockStorage-1,BlockStorage-1,BlockStorage-1,BlockStorage-1,SKT VMware
BlockStorage-2,BlockStorage-2,BlockStorage-2,BlockStorage-2,SKT VMware
compute01,compute01,compute01,compute01,CDAT OpenStack
compute02,compute02,compute02,compute02,CDAT OpenStack
controller01,controller01,controller01,controller01,CDAT OpenStack
block01,block01,block01,block01,CDAT OpenStack
block02,block02,block02,block02,CDAT OpenStack
network01,network01,network01,network01,CDAT OpenStack
