metricName,yAxisFormatter,renderer,graph,isPrediction,title,isCumulative,unit,hostOrService
haproxy.roundtrip,default,line,TRUE,TRUE,haproxy roundtrip,FALSE,request/s,haproxy
haproxy.rate,byte,line,TRUE,FALSE,haproxy rate,FALSE,request/s,haproxy
haproxy.bin,byte,line,TRUE,FALSE,haproxy bin,FALSE,request/s,haproxy
haproxy.bout,byte,line,TRUE,FALSE,haproxy bout,FALSE,request/s,haproxy
mysql.innodb_data_reads,byte,line,TRUE,FALSE,mysql innodb data reads,FALSE,request/s,mysql
mysql.innodb_data_writes,byte,line,TRUE,FALSE,mysql innodb data writes,FALSE,request/s,mysql
mysql.innodb_pages_read,byte,line,TRUE,FALSE,mysql innodb pages read,FALSE,request/s,mysql
mysql.innodb_pages_written,byte,line,TRUE,FALSE,mysql innodb pages written,FALSE,request/s,mysql
mysql.pct_innodb_buffer_pool_hit_ratio,byte,line,TRUE,FALSE,mysql pct innodb buffer pool hit ratio,FALSE,request/s,mysql
mysql.bytes_sent,byte,line,TRUE,FALSE,mysql bytes sent,FALSE,request/s,mysql
mysql.bytes_received,byte,line,TRUE,FALSE,mysql bytes received,FALSE,,mysql
mysql.volume_reads,byte,line,TRUE,FALSE,mysql volume reads,FALSE,,mysql
mysql.volume_writes,byte,line,TRUE,FALSE,mysql volume writes,FALSE,,mysql
mysql.query_cache_misses,byte,line,TRUE,FALSE,mysql query cache misses,FALSE,,mysql
apache.Resource_Utilization_CPU_Load,default,line,TRUE,FALSE,apache resource Utilization CPU Load,FALSE,,apache
apache.Activity_Bytes/min,byte,line,TRUE,FALSE,apache activity bytes/min,FALSE,,apache
apache.Activity_Requests/min,byte,line,TRUE,FALSE,apache activity requests/min,FALSE,,apache
apache.Activity_Total_Accesses,byte,line,TRUE,FALSE,apache activity total accesses,FALSE,,apache
apache.Activity_Total_Traffic,byte,line,TRUE,FALSE,apache activity total traffic,FALSE,,apache
proc.cpu.util,default,line,TRUE,FALSE,proc cpu util,FALSE,,system
disk.usage.percent,default,line,TRUE,FALSE,disk usage percent,FALSE,,system
mem.usage.percent,default,line,TRUE,FALSE,mem usage percent,FALSE,,system
