metricName,yAxisFormatter,renderer,graph,isPrediction,title,isCumulative
hardware.cpu.load.1min,default,line,TRUE,TRUE,hardware cpu load 1 min,FALSE
hardware.cpu.load.5min,default,line,TRUE,FALSE,hardware cpu load 5 min,FALSE
hardware.cpu.load.15min,default,line,TRUE,FALSE,hardware cpu load 15 min,FALSE
hardware.network.outgoing.errors,byte,line,TRUE,FALSE,hardware network outgoing errors,FALSE
hardware.network.incoming.bytes,byte,line,TRUE,FALSE,hardware network incoming bytes,FALSE
hardware.network.outgoing.bytes,byte,line,TRUE,FALSE,hardware network outgoing bytes,FALSE
hardware.network.bandwidth.bytes,byte,line,TRUE,FALSE,hardware network bandwidth bytes,FALSE
hardware.memory.used,byte,line,TRUE,FALSE,hardware memory used,FALSE
hardware.memory.total,byte,line,TRUE,FALSE,hardware memory total,FALSE
hardware.disk.size.used,byte,line,TRUE,FALSE,hardware disk size used,FALSE
hardware.disk.size.total,byte,line,TRUE,FALSE,hardware disk size total,FALSE
hardware.cpu.load.5min,byte,line,TRUE,FALSE,hardware cpu load 5 min,FALSE
proc.vmstat.pgmajfault,byte,line,TRUE,FALSE,proc vmstat pgmajfault,FALSE
proc.vmstat.pgfault,byte,line,TRUE,FALSE,proc vmstat pgfault,FALSE
proc.uptime.total,byte,line,TRUE,FALSE,proc uptime total,FALSE
proc.net.multicast,byte,line,TRUE,FALSE,proc net multicast,FALSE
proc.stat.procs_blocked,byte,line,TRUE,FALSE,proc stat processes blocked,FALSE
proc.stat.processes,byte,line,TRUE,FALSE,proc stat processes,FALSE
proc.stat.intr,byte,line,TRUE,FALSE,proc stat intr,FALSE
proc.stat.ctxt,byte,line,TRUE,FALSE,proc stat ctxt,FALSE
