metricName,yAxisFormatter,renderer,graph,isPrediction,title,isCumulative,unit,hostOrService
ceilometer.cpu_util,default,line,TRUE,FALSE,ceilometer cpu_util,FALSE,request/s,ceilometer
ceilometer.disk.device.usage,default,line,TRUE,FALSE,ceilometer disk device usage,FALSE,request/s,ceilometer
ceilometer.memory,default,line,TRUE,FALSE,ceilometer memory,FALSE,request/s,ceilometer
nova.cpu,default,line,TRUE,FALSE,nova cpu,FALSE,request/s,nova
nova.cpu_util,default,line,TRUE,FALSE,nova cpu_util,FALSE,request/s,nova
nova.errors,default,line,TRUE,FALSE,nova errors,FALSE,request/s,nova
nova.memory,default,line,TRUE,FALSE,nova memory,FALSE,request/s,nova
nova.requests,default,line,TRUE,FALSE,nova requests,FALSE,request/s,nova
nova.responsetime,default,line,TRUE,FALSE,nova responsetime,FALSE,request/s,nova
nova.vcpus,default,line,TRUE,FALSE,nova vcpus,FALSE,request/s,nova
swift.disk.ephemeral.size,default,line,TRUE,FALSE,swift disk ephemeral size,FALSE,,swift
swift.disk.read.bytes,default,line,TRUE,FALSE,swift disk read bytes,FALSE,,swift
swift.disk.read.bytes.rate,default,line,TRUE,FALSE,swift disk read bytes rate,FALSE,,swift
swift.disk.read.requests,default,line,TRUE,FALSE,swift disk read requests,FALSE,,swift
swift.disk.read.requests.rate,default,line,TRUE,FALSE,swift disk read requests rate,FALSE,,swift
swift.disk.root.size,default,line,TRUE,FALSE,swift disk root size,FALSE,,swift
swift.disk.write.bytes,default,line,TRUE,FALSE,swift disk write bytes,FALSE,,swift
swift.disk.write.bytes.rate,default,line,TRUE,FALSE,swift disk write bytes rate,FALSE,,swift
swift.disk.write.requests,default,line,TRUE,FALSE,swift disk write requests,FALSE,,swift
swift.disk.write.requests.rate,default,line,TRUE,FALSE,swift disk write requests rate,FALSE,,swift
cinder.errors,default,line,TRUE,FALSE,cinder errors,FALSE,,cinder
cinder.requests,default,line,TRUE,FALSE,cinder requests,FALSE,,cinder
cinder.responsetime,default,line,TRUE,FALSE,cinder responsetime,FALSE,,cinder
neutron.errors,default,line,TRUE,FALSE,neutron errors,FALSE,,neutron
neutron.requests,default,line,TRUE,FALSE,neutron requests,FALSE,,neutron
neutron.responsetime,default,line,TRUE,FALSE,neutron responsetime,FALSE,,neutron
glance.errors,default,line,TRUE,FALSE,glance errors,FALSE,,glance
glance.requests,default,line,TRUE,FALSE,glance requests,FALSE,,glance
glance.responsetime,default,line,TRUE,FALSE,glance responsetime,FALSE,,glance
keystone.errors,default,line,TRUE,FALSE,keystone errors,FALSE,,keystone
keystone.requests,default,line,TRUE,FALSE,keystone requests,FALSE,,keystone
keystone.responsetime,default,line,TRUE,FALSE,keystone responsetime,FALSE,,keystone
proc.cpu.util,default,line,TRUE,FALSE,proc cpu util,FALSE,,system
disk.usage.percent,default,line,TRUE,FALSE,disk usage percent,FALSE,,system
mem.usage.percent,default,line,TRUE,FALSE,mem usage percent,FALSE,,system
