metricName,yAxisFormatter,renderer,graph,isPrediction,title,isCumulative
openstack.disk.read.requests,byte,line,TRUE,TRUE,openstack disk read requests,FALSE
openstack.disk.read.requests.rate,byte,line,TRUE,FALSE,openstack disk read requests rate,FALSE
openstack.disk.write.bytes,byte,line,TRUE,FALSE,openstack disk write bytes,FALSE
openstack.disk.write.bytes.rate,byte,line,TRUE,FALSE,openstack disk write bytes rate,FALSE
openstack.disk.write.requests,byte,line,TRUE,FALSE,openstack disk write requests,FALSE
openstack.disk.write.requests.rate,byte,line,TRUE,FALSE,openstack disk write requests rate,FALSE
openstack.cpu_util,default,line,TRUE,FALSE,openstack cpu util,FALSE
openstack.cpu,default,line,TRUE,FALSE,openstack cpu,FALSE
openstack.hardware.cpu.load.5min,byte,line,TRUE,FALSE,openstack hardware cpu load 5min,FALSE
openstack.hardware.cpu.load.15min,byte,line,TRUE,FALSE,openstack hardware cpu load 15min,FALSE
openstack.hardware.cpu.load.1min,byte,line,TRUE,FALSE,openstack hardware cpu load 1min,FALSE
openstack.hardware.disk.size.used,byte,line,TRUE,FALSE,openstack hardware disk size used,FALSE
openstack.hardware.disk.size.total,byte,line,TRUE,FALSE,openstack hardware disk size total,FALSE
openstack.memory,byte,line,TRUE,FALSE,openstack memory,FALSE
openstack.hardware.memory.used,byte,line,TRUE,FALSE,openstack hardware memory used,FALSE
openstack.hardware.memory.total,byte,line,TRUE,FALSE,openstack hardware memory total,FALSE
openstack.hardware.network.bandwidth.bytes,byte,line,TRUE,FALSE,openstack hardware network bandwidth bytes,FALSE
openstack.hardware.network.incoming.bytes,byte,line,TRUE,FALSE,openstack hardware network incoming bytes,FALSE
openstack.hardware.network.outgoing.bytes,byte,line,TRUE,FALSE,openstack hardware network outgoing bytes,FALSE
openstack.hardware.network.outgoing.errors,byte,line,TRUE,FALSE,openstack hardware network outgoing errors,FALSE
