metricName,yAxisFormatter,renderer,graph,isPrediction,title,isCumulative
mysql.innodb_data_reads,byte,line,TRUE,TRUE,mysql innodb data reads,FALSE
mysql.innodb_data_writes,byte,line,TRUE,FALSE,mysql innodb data writes,FALSE
mysql.innodb_pages_read,byte,line,TRUE,FALSE,mysql innodb pages read,FALSE
mysql.innodb_pages_written,byte,line,TRUE,FALSE,mysql innodb pages written,FALSE
mysql.pct_innodb_buffer_pool_hit_ratio,default,line,TRUE,FALSE,mysql pct innodb buffer pool hit ratio,FALSE
mysql.bytes_sent,byte,line,TRUE,FALSE,mysql bytes sent,FALSE
mysql.bytes_received,byte,line,TRUE,FALSE,mysql bytes received,FALSE
mysql.volume_reads,byte,line,TRUE,FALSE,mysql volume reads,FALSE
mysql.volume_writes,byte,line,TRUE,FALSE,mysql volume writes,FALSE
mysql.query_cache_misses,byte,line,TRUE,FALSE,mysql query cache misses,FALSE
