metricName,yAxisFormatter,renderer,graph,isPrediction,title,isCumulative
tomcat.HeapMemoryUsage,byte,line,TRUE,FALSE,tomcat heap memory usage,FALSE
tomcat.NonHeapMemoryUsage,byte,line,TRUE,FALSE,tomcat non heap memory usage,FALSE
tomcat.Uptime,default,line,TRUE,FALSE,tomcat uptime,FALSE
tomcat.bytesReceived,byte,line,TRUE,FALSE,tomcat bytes received,FALSE
tomcat.errorCount,default,line,TRUE,FALSE,tomcat error count,FALSE
tomcat.ThreadCount,default,line,TRUE,FALSE,tomcat thread count,FALSE
tomcat.currentThreadsBusy,default,line,TRUE,FALSE,tomcat current threads busy,FALSE
mongo.connections.available,default,line,TRUE,TRUE,mongo connections available,FALSE
mongo.connections.current,default,line,TRUE,FALSE,mongo connections current,FALSE
mongo.network.bytesIn,byte,line,TRUE,FALSE,mongo network bytes in,FALSE
mongo.network.bytesOut,byte,line,TRUE,FALSE,mongo network bytes out,FALSE
mongo.network.numRequests,default,line,TRUE,FALSE,mongo network num of requests,FALSE
mysql.aborted_connects,byte,line,TRUE,FALSE,mysql aborted connects,FALSE
mysql.bytes_received,byte,line,TRUE,FALSE,mysql bytes received,FALSE
mysql.bytes_sent,byte,line,TRUE,FALSE,mysql bytes sent,FALSE
mysql.com_admin_commands,byte,line,TRUE,FALSE,mysql com admin commands,FALSE
redis.used_cpu_user,default,line,TRUE,FALSE,redis used cpu user,FALSE
redis.total_commands_processed,default,line,TRUE,FALSE,redis total commands processed,FALSE
redis.latency,default,line,TRUE,FALSE,redis latency,FALSE
redis.used_cpu_sys,default,line,TRUE,FALSE,redis used cpu system,FALSE
