metricName,yAxisFormatter,renderer,graph,isPrediction,title,isCumulative
swift.disk.ephemeral.size,default,line,TRUE,TRUE,swift.disk.ephemeral.size,FALSE
swift.disk.read.bytes,default,line,TRUE,FALSE,swift.disk.read.bytes,FALSE
swift.disk.read.bytes.rate,default,line,TRUE,FALSE,swift.disk.read.bytes.rate,FALSE
swift.disk.read.requests,default,line,TRUE,FALSE,swift.disk.read.requests,FALSE
swift.disk.read.requests.rate,default,line,TRUE,FALSE,swift.disk.read.requests.rate,FALSE
swift.disk.root.size,default,line,TRUE,FALSE,swift.disk.root.size,FALSE
swift.disk.write.bytes,default,line,TRUE,FALSE,swift.disk.write.bytes,FALSE
swift.disk.write.bytes.rate,default,line,TRUE,FALSE,swift.disk.write.bytes.rate,FALSE
swift.disk.write.requests,default,line,TRUE,FALSE,swift.disk.write.requests,FALSE
swift.disk.write.requests.rate,default,line,TRUE,FALSE,swift.disk.write.requests.rate,FALSE
apache.Activity_Bytes/min,default,line,TRUE,FALSE,apache.Activity_Bytes/min,FALSE
apache.Activity_Bytes/req,default,line,TRUE,FALSE,apache.Activity_Bytes/req,FALSE
apache.Activity_Requests/min,default,line,TRUE,FALSE,apache.Activity_Requests/min,FALSE
apache.Activity_Total_Accesses,default,line,TRUE,FALSE,apache.Activity_Total_Accesses,FALSE
apache.Activity_Total_Traffic,default,line,TRUE,FALSE,apache.Activity_Total_Traffic,FALSE
apache.Activity_Type_Cleaning_Up,default,line,TRUE,FALSE,apache.Activity_Type_Cleaning_Up,FALSE
apache.Activity_Type_Closing_Connection,default,line,TRUE,FALSE,apache.Activity_Type_Closing_Connection,FALSE
apache.Activity_Type_DNS_Lookup,default,line,TRUE,FALSE,apache.Activity_Type_DNS_Lookup,FALSE
apache.Activity_Type_Gracefully_Finishing,default,line,TRUE,FALSE,apache.Activity_Type_Gracefully_Finishing,FALSE
apache.Activity_Type_Keep_Alive,default,line,TRUE,FALSE,apache.Activity_Type_Keep_Alive,FALSE
apache.Activity_Type_Logging,default,line,TRUE,FALSE,apache.Activity_Type_Logging,FALSE
apache.Activity_Type_Reading_Request,default,line,TRUE,FALSE,apache.Activity_Type_Reading_Request,FALSE
apache.Activity_Type_Sending_Reply,default,line,TRUE,FALSE,apache.Activity_Type_Sending_Reply,FALSE
apache.Activity_Type_Starting_Up,default,line,TRUE,FALSE,apache.Activity_Type_Starting_Up,FALSE
apache.Availability_Server_Uptime_sec,default,line,TRUE,FALSE,apache.Availability_Server_Uptime_sec,FALSE
apache.Availability_up,default,line,TRUE,FALSE,apache.Availability_up,FALSE
apache.Resource_Utilization_CPU_Load,default,line,TRUE,FALSE,apache.Resource_Utilization_CPU_Load,FALSE
apache.Resource_Utilization_Processes_Busy_Workers,default,line,TRUE,FALSE,apache.Resource_Utilization_Processes_Busy_Workers,FALSE
apache.Resource_Utilization_Processes_Idle_Workers,default,line,TRUE,FALSE,apache.Resource_Utilization_Processes_Idle_Workers,FALSE
cinder.errors,default,line,TRUE,FALSE,cinder.errors,FALSE
cinder.requests,default,line,TRUE,FALSE,cinder.requests,FALSE
cinder.responsetime,default,line,TRUE,FALSE,cinder.responsetime,FALSE
glance.errors,default,line,TRUE,FALSE,glance.errors,FALSE
glance.requests,default,line,TRUE,FALSE,glance.requests,FALSE
glance.responsetime,default,line,TRUE,FALSE,glance.responsetime,FALSE
df.bytes.free,default,line,TRUE,FALSE,df.bytes.free,FALSE
df.bytes.percentused,default,line,TRUE,FALSE,df.bytes.percentused,FALSE
df.bytes.total,default,line,TRUE,FALSE,df.bytes.total,FALSE
df.bytes.used,default,line,TRUE,FALSE,df.bytes.used,FALSE
df.inodes.free,default,line,TRUE,FALSE,df.inodes.free,FALSE
df.inodes.percentused,default,line,TRUE,FALSE,df.inodes.percentused,FALSE
